Description Intelligence Friendliness Loyalty Beauty Playfulness
Akita 20 15 30 21 13
AlaskanMalamute 15 17 20 14 9
BassetHound 27 14 7 6 15
Beagle 17 25 29 17 2
BichonFrise 2 20 16 4 10
Bloodhound 10 4 5 18 23
Bolognese 1 11 12 14 16
Boxer 4 12 25 30 25
Bulldog 7 8 9 10 11
Chihuahua 8 9 10 11 35
Cockapoo 10 12 14 16 18
Collie 5 7 13 19 23
Dachshund 13 15 11 12 14
Dalmatian 21 20 18 16 15
FoxTerrier 4 14 24 30 2
FrenchBulldog 3 3 28 1 4
GoldenRetriever 30 15 12 28 30
Greyhound 26 2 4 14 5
Havanese 18 18 10 23 11
IrishSetter 16 30 21 13 2
JackRussellTerrier 5 1 29 50 23
Labradoodle 6 2 21 30 24
LabradorRetriever 7 3 30 29 25
Maltese 8 4 10 28 26
Mastiff 9 5 11 27 27
MiniaturePinscher 12 6 12 26 28
Newfoundland 11 7 13 25 29
Otterhound 14 11 14 24 30
Papillon 19 12 15 23 35
Pekingese 22 13 16 22 1
Pointer 23 50 17 21 2
Pomeranian 24 30 18 20 3
Poodle 25 29 19 19 4
Pug 28 28 20 18 5
Rottweiler 29 27 21 17 6
Samoyed 30 6 22 16 7
ShibaInu 31 4 23 15 8
SiberianHusky 10 10 24 14 9
Whippet 5 48 23 13 10
YorkshireTerrier 2 1 31 12 11
