Description Lovable Smartness Fattiness Nerdiness Anarchiness
GrandpaSimpson 2 3 12 7 50
Nahasapeemapetilon 3 5 17 2 19
BarneyGumble 9 8 23 1 7
BartSimpson 5 7 2 27 49
MontgomeryBurns 8 3 45 50 12 
ChiefWiggum 7 3 50 3 12
JuliusHibbert 6 2 45 4 8
EdnaKrabappel 4 8 40 8 7
GroundskeeperWillie 2 45 37 34 56
HomerSimpson 1 23 34 45 47
ItchyAndScratchy 0 22 24 37 2
KrustyTheClown 12 11 1 45 6
LennyandCarl 11 2 3 4 26
LisaSimpson 38 3 4 5 6
MaggieSimpson 24 4 3 2 1
Martin 5 35 45 47 37
MillhouseVanHouten 10 2 34 2 1
MoeSanlerd 28 23 21 34 12
NedFlanders 7 22 6 5 1
NelsonMuntz 6 23 45 17 5
Otto 4 3 5 7 8
PattyAndSelmaBouvier 50 2 2 1 5 
PrincipalSkinner 34 3 4 5 15
SantasLittleHelper 23 21 12 24 36
SherriAndTerri 11 12 34 26 7
SideshowBob 23 22 34 26 7 
Snowball 3 9 10 11 34
ToddAndRodFlanders 5 12 23 45 47
WaylonSmithers 6 2 5 7 8
LisaSimpson 19 23 45 12 19
MoeSzysllak 15 12 22 2 3
FatTony 34 34 45 27 39
Jasper 23 1 23 45 7
KentBrockman 22 23 45 27 1
LunchladyDoris 11 23 45 4 5
KangAndKodos 10 24 34 3 5
Itchy 45 37 7 8 9
CrazyOldMan 6 2 3 4 5
HandsomePete 5 50 38 9 4 
ChiefClancyWiggum 3 2 1 34 16
